"forecast_date","target","target_end_date","location","type","quantile","value"
2022-01-17,"1 wk ahead inc flu hosp","2022-01-23","US","quantile",0.01,290.39375
2022-01-17,"1 wk ahead inc flu hosp","2022-01-23","US","quantile",0.025,291.6875
2022-01-17,"1 wk ahead inc flu hosp","2022-01-23","US","quantile",0.05,293.9375
2022-01-17,"1 wk ahead inc flu hosp","2022-01-23","US","quantile",0.1,299.0375
2022-01-17,"1 wk ahead inc flu hosp","2022-01-23","US","quantile",0.15,306.6875
2022-01-17,"1 wk ahead inc flu hosp","2022-01-23","US","quantile",0.2,312.1375
2022-01-17,"1 wk ahead inc flu hosp","2022-01-23","US","quantile",0.25,312.5875
2022-01-17,"1 wk ahead inc flu hosp","2022-01-23","US","quantile",0.3,313.1125
2022-01-17,"1 wk ahead inc flu hosp","2022-01-23","US","quantile",0.35,313.975
2022-01-17,"1 wk ahead inc flu hosp","2022-01-23","US","quantile",0.4,314.975
2022-01-17,"1 wk ahead inc flu hosp","2022-01-23","US","quantile",0.45,316.9875
2022-01-17,"1 wk ahead inc flu hosp","2022-01-23","US","quantile",0.5,318
2022-01-17,"1 wk ahead inc flu hosp","2022-01-23","US","quantile",0.55,319.0125
2022-01-17,"1 wk ahead inc flu hosp","2022-01-23","US","quantile",0.6,320.85
2022-01-17,"1 wk ahead inc flu hosp","2022-01-23","US","quantile",0.65,321
2022-01-17,"1 wk ahead inc flu hosp","2022-01-23","US","quantile",0.7,321.1125
2022-01-17,"1 wk ahead inc flu hosp","2022-01-23","US","quantile",0.75,322.2375
2022-01-17,"1 wk ahead inc flu hosp","2022-01-23","US","quantile",0.8,323.5875
2022-01-17,"1 wk ahead inc flu hosp","2022-01-23","US","quantile",0.85,332.75
2022-01-17,"1 wk ahead inc flu hosp","2022-01-23","US","quantile",0.9,345.35
2022-01-17,"1 wk ahead inc flu hosp","2022-01-23","US","quantile",0.95,352.425
2022-01-17,"1 wk ahead inc flu hosp","2022-01-23","US","quantile",0.975,353.325
2022-01-17,"1 wk ahead inc flu hosp","2022-01-23","US","quantile",0.99,353.8425
2022-01-17,"1 wk ahead inc flu hosp","2022-01-23","US","point",NA,318
2022-01-17,"2 wk ahead inc flu hosp	","2022-01-30","US","quantile",0.01,372.89
2022-01-17,"2 wk ahead inc flu hosp	","2022-01-30","US","quantile",0.025,379.1
2022-01-17,"2 wk ahead inc flu hosp	","2022-01-30","US","quantile",0.05,389.9
2022-01-17,"2 wk ahead inc flu hosp	","2022-01-30","US","quantile",0.1,395.95
2022-01-17,"2 wk ahead inc flu hosp	","2022-01-30","US","quantile",0.15,397.75
2022-01-17,"2 wk ahead inc flu hosp	","2022-01-30","US","quantile",0.2,399.1375
2022-01-17,"2 wk ahead inc flu hosp	","2022-01-30","US","quantile",0.25,399.5875
2022-01-17,"2 wk ahead inc flu hosp	","2022-01-30","US","quantile",0.3,400.4875
2022-01-17,"2 wk ahead inc flu hosp	","2022-01-30","US","quantile",0.35,403.4125
2022-01-17,"2 wk ahead inc flu hosp	","2022-01-30","US","quantile",0.4,406.4125
